Circuit: * Z:\home\shinu\Desktop\thermal_sampler\sims\Draft1.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000453109 to 0.00045311
Heightened Def Con from 0.00045311 to 0.00045311
Heightened Def Con from 0.00045311 to 0.000453111
Heightened Def Con from 0.000453111 to 0.000453111
Heightened Def Con from 0.000453111 to 0.000453112
Heightened Def Con from 0.000453112 to 0.000453112
Heightened Def Con from 0.000453112 to 0.000453112
Heightened Def Con from 0.000453112 to 0.000453112
Heightened Def Con from 0.000453112 to 0.000453112
Heightened Def Con from 0.000453112 to 0.000453112
Heightened Def Con from 0.000453112 to 0.000453112
Heightened Def Con from 0.000453112 to 0.000453112
Heightened Def Con from 0.000453112 to 0.000453112
Heightened Def Con from 0.000453112 to 0.000453113
Heightened Def Con from 0.000453113 to 0.000453113
Heightened Def Con from 0.000453113 to 0.000453114
Heightened Def Con from 0.000453114 to 0.000453114
Heightened Def Con from 0.000453114 to 0.000453114
Heightened Def Con from 0.000453114 to 0.000453115
Heightened Def Con from 0.000453115 to 0.000453116
Heightened Def Con from 0.000453116 to 0.000453116
Heightened Def Con from 0.000453116 to 0.000453116
Heightened Def Con from 0.000453116 to 0.000453117
Heightened Def Con from 0.000453117 to 0.000453119
Heightened Def Con from 0.000453119 to 0.000453119
Heightened Def Con from 0.000453119 to 0.00045312
Heightened Def Con from 0.00045312 to 0.00045312
Heightened Def Con from 0.00045312 to 0.00045312
Heightened Def Con from 0.00045312 to 0.00045312
Heightened Def Con from 0.00045312 to 0.00045312
Heightened Def Con from 0.00045312 to 0.00045312
Heightened Def Con from 0.00045312 to 0.000453121
Heightened Def Con from 0.000453121 to 0.000453121
Heightened Def Con from 0.000453121 to 0.000453121
Heightened Def Con from 0.000453121 to 0.000453121
Heightened Def Con from 0.000453121 to 0.000453121
Heightened Def Con from 0.000453121 to 0.000453121
Heightened Def Con from 0.000453121 to 0.000453121
Heightened Def Con from 0.000453121 to 0.000453121
Heightened Def Con from 0.000453121 to 0.000453122
Heightened Def Con from 0.000453122 to 0.000453123
Heightened Def Con from 0.000453123 to 0.000453123
Heightened Def Con from 0.000453123 to 0.000453123
Heightened Def Con from 0.000453123 to 0.000453123
Heightened Def Con from 0.000453123 to 0.000453124
Heightened Def Con from 0.000453124 to 0.000453124
Heightened Def Con from 0.000453124 to 0.000453124
Heightened Def Con from 0.000453124 to 0.000453124
Heightened Def Con from 0.000453124 to 0.000453125
Heightened Def Con from 0.000453125 to 0.000453125
Heightened Def Con from 0.000453125 to 0.000453126
Heightened Def Con from 0.000453126 to 0.000453126
Heightened Def Con from 0.000453126 to 0.000453126
Heightened Def Con from 0.000453126 to 0.000453126
Heightened Def Con from 0.000453126 to 0.000453126
Heightened Def Con from 0.000453126 to 0.000453128
Heightened Def Con from 0.000453128 to 0.000453128
Heightened Def Con from 0.000453128 to 0.000453129
Heightened Def Con from 0.000453129 to 0.000453129
Heightened Def Con from 0.000453129 to 0.000453129
Heightened Def Con from 0.000453129 to 0.000453129
Heightened Def Con from 0.000453129 to 0.000453129
Heightened Def Con from 0.000453129 to 0.000453129
Heightened Def Con from 0.000453129 to 0.00045313
Heightened Def Con from 0.00045313 to 0.00045313
